,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,PH4d,PH4h,PHInt,HTrad,RTrad,FPTrad,"
                            #Sampling Factors
                            ""SampleSize"",
                            ""SamplesPSublot"",
                            ""NumberGrabs"",
                            Harvest Wash Red",Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,WashingYN,TotalCFUFP,PH4Int,Harvest Wash Red
32,454000000.0,4.0,10000.0,3.708011392668814,-2.8185134590610037,True,True,,True,True,True,,2.072621894137621,15.226660180728475,0.4621164528565016,3.151676087892956,False,5.6636615237637855,4.630186770954046,False,0.0,True,1.2422498693413413
33,45400.0,1.0,10000.0,3.8906587818690044,-3.1452762546689206,True,True,,True,True,True,,3.137673404946759,16.264783081955283,0.43559148170526013,3.949601885931549,False,5.3047475773287704,4.939397499612189,True,0.0,True,1.335651094486444
34,45400.0,4.0,100.0,6.669250385059959,-6.74061340741797,True,True,,True,True,True,,2.380064452591194,16.833689479860126,0.5856266617939012,3.8964170639853695,True,5.447064069180157,5.67229946162296,False,0.0,True,1.2376851946958713
35,45400.0,3.0,1000.0,6.103277241560861,-2.165363658940338,True,True,,True,True,True,,2.341649143220079,16.363311557988016,0.4797992373134316,3.3809995646290636,True,5.695347459797359,4.420190667600513,False,6.0,True,1.190738210989307
36,454000000.0,1.0,100000.0,4.562629565994183,-3.163170278898214,True,True,,True,True,True,,2.295471749458531,15.716130349710413,0.4681405191575558,3.065024865652659,False,5.506976382530486,4.064065313416065,False,0.0,True,1.2346627530283958
37,454000000.0,2.0,10000.0,4.567694715522805,-3.2514126659779703,True,True,,True,True,True,,3.2244536282896816,16.534934088238366,0.472069296213821,3.706326679811154,True,5.590161704562277,5.219159181797217,False,0.0,True,1.3564935036629753
38,45400000.0,2.0,10000.0,2.7761410657593517,-1.9399061105761979,True,True,,True,True,True,,2.1418348216449807,16.577977107923637,0.4088267066655612,3.3542324918334314,False,6.2118611227771705,5.042790676747029,False,0.0,True,1.3965804371929589
39,45400000.0,4.0,100.0,3.443733832648093,-2.1543294546860987,True,True,,True,True,True,,2.0709102683566445,15.74738392402908,0.576775872411122,3.7592074116130414,False,5.123679807953833,5.967290965366757,True,0.0,True,1.3519646290241645
40,4540000.0,1.0,10000.0,4.1368907327072035,-4.240811155860934,True,True,,True,True,True,,3.9392752243891174,16.335073686054123,0.5601509933956932,3.6906092629610177,True,5.653624803065455,5.337648390305613,True,39.0,True,1.192155080166234
41,45400000.0,3.0,100.0,6.104143375758138,-4.3861040336939,True,True,,True,True,True,,3.7393103146749906,15.786276307954871,0.5122635211293239,3.1227363713042093,False,5.327358824609124,4.089306320561384,True,7.0,True,1.1113013409621506
42,45400.0,1.0,1000.0,3.4813273571953802,-1.9746310334774835,True,True,,True,True,True,,3.2961837646534153,16.73763736390988,0.5169694301885839,3.2517299091675542,False,5.669926906829652,4.730932374806621,True,0.0,True,1.2074191386149307
43,4540000.0,1.0,100000.0,3.4537274540202167,-3.1205290190338313,True,True,,True,True,True,,3.200820293473023,16.185999657623995,0.40837135928545115,3.3971787299033487,True,5.613950541871378,5.292377031885836,True,20.0,True,1.2727546879715508
44,45400000.0,4.0,1000.0,5.033226006424384,-3.9594908572276992,True,True,,True,True,True,,3.5277251883859853,15.548899606161118,0.5130456946138794,3.384930557388409,True,5.237789763473103,5.058886465532666,True,102.0,True,1.3407197820023662
45,454000000.0,1.0,100000.0,3.72819487556701,-3.550602439686258,True,True,,True,True,True,,2.4113925095930124,16.407200515680923,0.5334738571476209,3.5116402336439587,True,6.30027391397423,5.844909697681187,False,0.0,True,1.3097240059723434
46,4540000.0,1.0,10000.0,3.6861412388753223,-2.427019535182356,True,True,,True,True,True,,3.795897109652995,15.5327835545647,0.41231498241146913,3.984272920795308,False,6.350005655626973,5.0686812474693665,False,637.0,True,1.2090020957150935
47,4540.0,2.0,1000.0,5.25047862269391,-3.5929831851304073,True,True,,True,True,True,,2.517967290257424,16.66436236006485,0.5440587695240836,3.95243979990963,True,5.303317039202439,5.73199824465295,False,0.0,True,1.322963464083687
48,454000.0,3.0,10000.0,4.930835064395502,-3.4047100323842456,True,True,,True,True,True,,3.4405841046899694,16.78521537064058,0.48107355372949023,3.0497235966464054,True,5.24489816309325,4.388376661810163,True,0.0,True,1.1228137220092025
49,454000000.0,2.0,10000.0,6.374183687672128,-4.211104670670229,True,True,,True,True,True,,3.5294633687288135,15.062518851632893,0.4480560480604453,3.609955564923296,False,6.925115042973983,4.406358791557995,True,0.0,True,1.3436519983934483
50,454000.0,2.0,1000.0,2.732060207325466,-2.1651709202733493,True,True,,True,True,True,,3.1977729913868993,15.934576873928588,0.5621526870719847,3.0746673002945064,False,6.627031203207407,4.646804638528068,False,0.0,True,1.2352084381219521
51,45400000.0,1.0,100000.0,2.637061400201714,-1.8686121749499447,True,True,,True,True,True,,3.065262240202644,15.463083707185072,0.4593759246285073,3.733352212875524,False,5.6555113137271,4.695885904791428,False,0.0,True,1.3747952847128921
52,4540.0,1.0,10000.0,5.491623834524381,-4.120153157577535,True,True,,True,True,True,,3.3455058929714845,16.765095406275638,0.46557768083559953,3.9320028836284022,False,6.717080028257255,5.034520990181639,True,0.0,True,1.387514531435572
53,45400000.0,1.0,100000.0,2.7683324659930175,-2.0537342624596127,True,True,,True,True,True,,2.018070513996819,15.433674795698707,0.44248839468392026,3.3995740386315685,False,5.604994630232956,5.001699833495195,False,0.0,True,1.1856038076094726
54,45400000.0,2.0,1000.0,3.629387202679399,-3.0039705683372753,True,True,,True,True,True,,3.1383096024069426,16.437176654003448,0.40157430667680305,3.9517582996596254,True,5.168240314382617,5.200194358827206,False,0.0,True,1.3000471271472405
55,45400.0,2.0,100.0,3.232413391504566,-2.3575381802008133,True,True,,True,True,True,,3.8023326719149857,16.733326532187316,0.5502007503238981,3.7298934001470387,False,5.064749669013353,4.770451466978032,False,2.0,True,1.3460180057976951
56,45400000.0,2.0,1000.0,4.100855919639979,-2.2613636401527883,True,True,,True,True,True,,2.8804319203495874,15.454888720441502,0.5526813929129446,3.4846878649889104,True,5.782650637503195,5.048284451722829,False,0.0,True,1.3700640414046061
