,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
225,100000.0,1000.0,3.0576627884179226,-2.4904502759064493,2.4597369375356877,15.747396553274966,0.518527334750934,3.895344236030513,True,6.202508202648135,4.847591169660698,1.2926559469751469,False,True,1.2926559469751469,0.25482869839500955,0.0020269942302622848,0.5,2500.0,-1.0,0.17941715721925172,0.005539601018482697,1.0,2500.0,-1.0,0.27001004264697637,0.00197049811601257,0.5,2500.0,-1.0,0.27580252286116935,0.00555388435470618,0.25,2500.0,-4.0,24.0,4.908009798295904,63.57,3.792704194313451,24.0,4.0,33.0,0.0016
226,100000.0,100000.0,6.166596705905649,-3.3525341755607023,3.3701160968630166,16.427156548556894,0.46334169807994674,3.936476769606501,False,5.94723528265263,4.792862535884419,1.2241376490813856,False,False,1.2241376490813856,0.21529638532211115,0.003326114285222556,0.75,5000.0,-3.0,0.18704087500813,0.0030887229889734543,0.0,7500.0,-3.0,0.13084264191958844,0.0029351715657324542,1.0,7500.0,-3.0,0.27622848432140723,0.008918641949470188,0.5,2500.0,-1.0,24.0,5.429332150304375,63.57,3.028373298199621,24.0,4.0,18.0,0.0008
227,100000.0,100000.0,2.0196748664429123,-1.782091657014684,3.2845363189152197,15.904128735547793,0.4234352523308338,3.82548493025398,True,6.264844490052836,5.4294339405974466,1.3090044941848749,False,True,1.3090044941848749,0.24015613418407067,0.0016936059730495447,0.25,5000.0,-1.0,0.18502289625095153,0.004530783958124487,0.25,5000.0,-2.0,0.2759585349907574,0.001344415067305082,0.25,2500.0,-2.0,0.2886606071213898,0.003210878332885333,0.25,7500.0,-3.0,24.0,5.012052614618742,63.57,5.3622908539718654,24.0,4.0,944.0,0.0259
228,100000.0,10000.0,3.6826547444778055,-3.4528306214703464,3.377109795435474,15.692166050307119,0.4878058008468418,3.589049088255229,False,6.307324345875966,4.2205316713219005,1.2950273960847762,False,False,1.2950273960847762,0.19869383451179995,0.002902848450283682,0.5,5000.0,-4.0,0.1639812621258389,0.01105638501504671,0.0,5000.0,-3.0,0.15783860698163366,0.0014117535389657622,0.25,7500.0,-3.0,0.25105613422790235,0.0029114515166175415,0.25,7500.0,-3.0,24.0,4.1091139441781745,63.57,2.5994299312384066,24.0,4.0,8.0,0.0004
229,100000.0,1000.0,1.7620442627782067,-1.3809591489800115,3.35756762737428,15.495084677830558,0.5558923480408751,3.4704634413909194,False,5.743731542016833,5.33918071456593,1.3658805945311991,True,False,1.3658805945311991,0.21798997485348925,0.0028144042719748337,0.0,2500.0,-3.0,0.17030742459256124,0.008183424895016451,0.0,7500.0,-3.0,0.07886348893889154,0.0007301302757624375,0.25,7500.0,-1.0,0.26175591969508555,0.000421784918035436,0.0,7500.0,-3.0,24.0,4.032726829382498,63.57,2.391627750558059,24.0,4.0,58.0,0.0028
230,100000.0,1000.0,4.56372286382261,-4.235288959763428,2.517103321280322,15.628244760240438,0.5871768572902517,3.7450166329122916,True,5.013106450085559,4.039532302149162,1.4176295551229803,False,True,1.4176295551229803,0.21082126597559145,0.0029736812582203806,0.0,5000.0,-2.0,0.20626972742413063,0.0050978732249612555,0.75,7500.0,-4.0,0.23656379797759544,0.0005604234690829157,0.75,5000.0,-2.0,0.24891211715337425,0.003352328096311387,0.0,2500.0,-1.0,24.0,4.955729952290704,63.57,3.1780879230519963,24.0,4.0,0.0,0.0
231,100000.0,1000.0,5.355724920989164,-4.976761905287775,2.85342014037825,15.630689389830833,0.5653776582002519,3.9034294766039186,False,5.077876210829614,5.830445193496493,1.3103152817907957,False,False,1.3103152817907957,0.2270873085575926,0.0025307417017362117,0.5,2500.0,-1.0,0.1882506939377519,0.011141344301417127,0.5,7500.0,-4.0,0.25915654286215783,0.0008392390743844577,0.0,5000.0,-3.0,0.28341393458668257,0.0015207222261350317,0.25,2500.0,-4.0,24.0,4.577967448332664,63.57,2.711506419941403,24.0,4.0,0.0,0.0
232,100000.0,10000.0,3.235287073528866,-2.422453541497702,2.289611493596516,16.304680384291416,0.4621176102087358,3.2840962968432676,False,6.695725918192984,5.125584677080263,1.2246099393688576,False,True,1.2246099393688576,0.22603123508785317,0.0015903300582588405,0.0,5000.0,-3.0,0.18667403184836373,0.006880539983853211,0.25,5000.0,-3.0,0.14655961863636568,0.0006137001856282814,0.25,7500.0,-4.0,0.26982878676255795,0.003909885750048617,0.5,7500.0,-2.0,24.0,5.347688653339632,63.57,1.069103929755285,24.0,4.0,88.0,0.0032
233,100000.0,100000.0,2.187009892112781,-1.5707512386595548,3.166331284674531,16.799480350926842,0.46978109816545555,3.1484237756658633,False,5.236747707978544,4.8530137803102305,1.42119761546498,True,True,1.42119761546498,0.2466840130176777,0.004293441677417843,0.25,7500.0,-1.0,0.1694457444835953,0.00674971155985828,0.0,2500.0,-2.0,0.2914361183389853,0.0011498998590727008,0.75,7500.0,-2.0,0.2759491525893121,0.004531131029451832,1.0,2500.0,-2.0,24.0,4.297744109324955,63.57,1.2964774248468607,24.0,4.0,1.0,5e-05
234,100000.0,10000.0,0.9954672224842124,-0.7253366524930971,3.8248008870119645,16.940348395615178,0.44932395517777657,3.6988074142774017,True,6.732858638392672,5.279043694221875,1.1915415463643293,False,True,1.1915415463643293,0.2281980701763909,0.0018958124283196007,1.0,2500.0,-4.0,0.15669745770868082,0.006815362829156529,0.75,5000.0,-2.0,0.2295807206700564,0.0009241126892102682,0.75,5000.0,-4.0,0.25806732747818717,0.005491179225658265,0.5,2500.0,-2.0,24.0,4.924041879908138,63.57,4.787793972506021,24.0,4.0,2098.0,0.0565
