,ClusterSize,Time_CE_H,Time_H_PC,Temp_H_PC,Time_Precooling,Temp_Precooling,Time_Storage_R,Temp_Storage_R,ChSpray_eff,TotalRedPre_wash,TotalRed_wash,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
275,100000.0,3.740896062280255,3.9773827726437343,16.858394294005397,0.4205998181972183,3.232857523171684,0.11651765518788648,10.19037363596222,1.3721504924211725,-45.0,-4.0,0.23902600166560806,0.002045977313610742,0.25,2500.0,-3.0,0.19821980346094198,0.005624080296571961,0.0,5000.0,-1.0,0.2459549041355498,0.001164913887199815,1.0,5000.0,-2.0,0.2729103179864402,0.006451920225967699,0.0,5000.0,-4.0,0.8085073725172686,5.123734115938174,54.720007301008366,3.084656120694765,61.63092355052344,8.030631039536342,0.0,0.0
276,100000.0,6.9233945753790636,2.453474871985377,15.024813400263898,0.5975492827836602,3.8743503629729203,0.9533685355073248,7.52531973366822,1.4518094948508364,-5.0,0.0,0.2240814132059065,0.003438369446372212,0.5,2500.0,-1.0,0.1820799028536616,0.009199243543806988,0.0,5000.0,-1.0,0.12434974834173856,0.0018427712028754313,0.75,5000.0,-4.0,0.27655736247651025,0.0038965776552825956,0.5,5000.0,-1.0,0.1942941051832009,4.783028509608919,38.91156867000758,2.1267774229341967,67.39930615896765,10.73462597943683,0.0,0.0
277,1000.0,3.937534211883444,2.109358173609072,16.308109977778994,0.4393175193757727,3.7014873778179216,0.8013677686175963,8.75341546488663,1.2177173098058294,-65.0,-4.0,0.20775136000853817,0.0018115921618305547,0.5,5000.0,-3.0,0.1931897789915588,0.0013928283661673816,0.25,2500.0,-2.0,0.18253692917886538,0.0008046341433706112,0.5,5000.0,-3.0,0.2879724827332875,0.0010200669359353058,0.0,2500.0,-1.0,0.9253260928686377,5.754905286833838,45.69571155293365,5.739227206203465,67.69336437392148,8.69030013611811,0.0,0.0
278,1000.0,2.5032635127807303,3.0385671230028306,16.476287025307897,0.5216014813893622,3.2591761707212403,0.8223813743794801,7.881213428909631,1.4266021506159188,-1555.0,-72.0,0.1852994816805517,0.0041098701889950694,0.5,2500.0,-3.0,0.19055565526752352,0.004404317671762301,0.75,7500.0,-2.0,0.25972479086184863,0.0008436187702737024,1.0,7500.0,-3.0,0.2646679396781192,0.003381071589024568,0.25,2500.0,-1.0,0.09761790877866983,5.833407147421099,34.45702255878989,1.859861066800996,42.9248369971219,8.449991930049457,0.0,0.0
279,1000.0,4.359285971738107,3.6694447329090725,16.47156326799348,0.4566960202915575,3.0255916385625663,0.9455228808245958,8.757941463693218,1.2775322856661255,-1046.0,-66.0,0.23438027069408288,0.003692642585660146,0.5,7500.0,-2.0,0.18679131195461526,0.009245208063464528,0.75,5000.0,-2.0,0.09547629968991836,0.0013592885079067724,0.25,2500.0,-3.0,0.2711203367526984,0.0016413014445180829,0.5,5000.0,-2.0,0.9070342651985498,5.785879982413429,54.96494405321448,5.726132465344878,28.045143930221236,7.193752620619432,3.0,5e-05
280,10000.0,2.0649931634548278,2.9879278771719093,15.60804111756383,0.4493089303073993,3.4424005963810567,0.4988994384340556,3.700527172486433,1.1879381487820029,-6040.0,-428.0,0.23705870370615512,0.003041156512662949,0.0,7500.0,-2.0,0.19588705714996535,0.0087694157937739,0.0,2500.0,-2.0,0.23811399966546892,0.002315949828889727,0.25,2500.0,-3.0,0.2494514908058203,0.0036919114490788843,1.0,5000.0,-4.0,0.3476049117343858,5.935037940746578,64.01605579185427,3.1852698729501667,40.419391085711666,5.801358767167052,3.0,0.00015
281,10000.0,3.8134065177742102,2.245927962338487,15.593120996971452,0.5299281099996478,3.57823798497376,0.3430070942862954,5.7102928275024665,1.1316425634857772,-87.0,-10.0,0.2076621812584168,0.0025290627895861832,0.75,7500.0,-1.0,0.17877105399014667,0.004464775114008108,0.0,7500.0,-1.0,0.24484572285947362,0.0009930586727570122,1.0,7500.0,-2.0,0.2471418318895798,0.0029567272498371364,0.5,2500.0,-4.0,0.8555086808418833,4.056303278507178,52.41879936641463,5.272072900414909,49.033143998504286,8.545242879413983,0.0,0.0
282,10000.0,3.4336046898405006,2.242340487681141,15.603992715937688,0.5852430091783066,3.9920749746293884,0.3849014828358258,1.0693714055377543,1.24102004928084,-48.0,-2.0,0.242952417989921,0.0007836594996691936,0.75,2500.0,-4.0,0.19121648263978316,0.004942708267678516,0.0,7500.0,-4.0,0.14200677610137838,0.000660615016339833,1.0,7500.0,-3.0,0.23700576095048909,0.005169873047861668,0.75,5000.0,-1.0,0.05590519977004038,4.330604860042502,78.0137727612561,3.558085136424616,55.70895275169747,12.697468882981294,0.0,0.0
283,100000.0,4.410749942352156,3.2816477975112903,15.343729230520772,0.5588328268565131,3.93214191235532,0.16922206607465584,8.753313361600767,1.217584365480768,-21.0,0.0,0.2049647901647503,0.002716643597315267,0.25,5000.0,-2.0,0.21496996479576122,0.008077721814623575,1.0,7500.0,-4.0,0.1107284861824042,0.0003454578726678938,0.25,2500.0,-4.0,0.26790013068096097,0.0026446198911196325,0.5,2500.0,-2.0,0.7053017070838474,5.953666849466377,71.11587399221766,0.5185764121303069,59.413287931778264,5.132353359430649,1.0,5e-05
284,1000.0,5.779208325690539,2.046864705324686,16.756955544436963,0.42631264836012855,3.585530275558273,0.09907760361292017,9.841382383876343,1.1372923563619353,0.0,0.0,0.19155486749959524,0.00173388274195628,0.75,2500.0,-2.0,0.18846976978936686,0.010337678044651105,1.0,7500.0,-1.0,0.21371468446765315,0.0009015655359210346,0.5,7500.0,-1.0,0.2454083160412493,0.0044902002165721,0.5,2500.0,-4.0,0.04764612415273539,5.652414709653957,75.50775101847819,5.5355424540056655,44.69298823881508,2.9741735337351254,0.0,0.0
