,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,TotalCFUFP,PropCont
506,100000.0,10000.0,2.78889054091715,-1.5424512073365233,2.7185363113830605,16.600474148641165,0.482958376535574,3.2319286743718765,False,6.288177893400146,5.899831237774385,1.2011191604140057,True,True,0.1986630526278485,0.0011171284728843896,0.75,5000.0,-1.0,0.17317483700332842,0.008644319702580828,0.5,5000.0,-3.0,0.1776742081441989,0.0025933709220277387,1.0,2500.0,-1.0,0.26142860972054227,0.0056561922651043785,0.75,2500.0,-3.0,11.0,0.00055
507,100000.0,100000.0,4.45602693660441,-4.39664491310132,2.839785054750337,15.705320372413237,0.44222970648305815,3.0501564538879125,True,6.349543936603477,4.506322754403094,1.2104737605507254,True,True,0.17571868426934095,0.0024455982174618,0.0,7500.0,-3.0,0.19802071980544778,0.008357342668486077,0.0,2500.0,-2.0,0.19755361666183846,0.0026633683263677433,1.0,2500.0,-2.0,0.2740981738245679,0.0017044132348876151,0.75,7500.0,-2.0,0.0,0.0
508,100000.0,100000.0,2.3583667515320084,-2.242816361044903,3.7606799416743613,15.70369570452927,0.5772486100803803,3.073078799343981,True,5.541182115179687,5.577300532260951,1.355937742759778,False,False,0.18681713006623554,0.0025242687813505846,0.75,7500.0,-3.0,0.16885249967871685,0.00633665982547816,0.75,2500.0,-3.0,0.21128597192189216,0.0010396928930351832,0.5,2500.0,-1.0,0.26743910972622165,0.004193093147191523,0.0,2500.0,-4.0,137.0,0.00685
509,100000.0,10000.0,6.6122994941211015,-6.012407790661693,3.918988865024059,15.047971389685099,0.5323520968743461,3.6419163693764096,True,6.261245308328466,4.588604622939778,1.106471599646603,True,False,0.2088630255627512,0.0014696147687178374,1.0,7500.0,-4.0,0.1972108945708401,0.006671454393691219,0.5,5000.0,-3.0,0.21590332003496493,0.0019088257805360191,0.75,7500.0,-4.0,0.2716089923075716,0.012862294405096597,1.0,7500.0,-3.0,0.0,0.0
510,100000.0,10000.0,5.049230852080013,-4.368715092331162,2.146979008929674,16.404193665670434,0.587761078868672,3.5195515516697427,False,6.771334044425176,4.876798208473815,1.377425770199703,True,False,0.22409020231712376,0.002997211048852943,1.0,7500.0,-2.0,0.17067742809895245,0.0077449540412301435,1.0,7500.0,-2.0,0.22370746822926976,0.0007077133883152805,0.5,5000.0,-3.0,0.27630552331878705,0.009698458579498508,0.0,2500.0,-3.0,0.0,0.0
511,100000.0,100000.0,3.9364594968365965,-2.737160338535624,2.9986905140535285,16.079635008126676,0.45758366845686593,3.3846121873854638,True,6.13445953036424,4.991342062953608,1.1196376627355662,False,False,0.1911627854283283,0.00410514631681431,1.0,2500.0,-2.0,0.17612521520532443,0.008493062929093534,1.0,7500.0,-1.0,0.13567346734065344,0.0026779188973326522,0.75,5000.0,-3.0,0.27913986805619384,0.0030814515531171743,1.0,7500.0,-3.0,48.0,0.0024
512,100000.0,100000.0,3.664789527047404,-2.798828224322245,3.632356279824313,16.551978307342598,0.45048104535016087,3.1212937884508305,True,5.118178430163107,4.537021669107679,1.130250334578947,False,True,0.21819412728651427,0.0006028400538493741,0.75,5000.0,-2.0,0.1770148812993859,0.0064688716541798155,0.0,2500.0,-2.0,0.28623647621196635,0.0009451924677060237,0.0,5000.0,-4.0,0.2912020242265449,0.0011426232211506817,0.25,7500.0,-1.0,8.0,0.0004
513,100000.0,10000.0,3.7429741344829615,-2.8839375309570947,3.516101789605708,16.575263591490806,0.4662867684234482,3.6577179804140867,False,5.779249266025718,5.264042290961006,1.235848968293305,False,True,0.18114988192178286,0.003608259830228648,0.0,2500.0,-1.0,0.1817556292213103,0.008882919489574764,0.25,7500.0,-3.0,0.13223303215897986,0.0008307675895855237,0.75,2500.0,-2.0,0.29175639624772,0.01009653932578338,0.75,7500.0,-4.0,11.0,0.0005
514,100000.0,100000.0,2.7834245919496667,-2.113951085564972,2.615018568815776,15.234714668824402,0.40082475150156044,3.4423735647732605,True,6.449760781019139,4.097123539941461,1.2480486939077324,True,False,0.2517088913946654,0.002245130341595526,0.75,5000.0,-3.0,0.1527526297634298,0.012149796713873787,1.0,2500.0,-3.0,0.20353061236053732,0.0005571124546187015,0.5,5000.0,-2.0,0.3006589141863824,0.0010806013731051078,0.25,7500.0,-1.0,7.0,0.00035
515,100000.0,1000.0,2.0696720960955446,-1.8914046262958273,3.831333575904412,15.005098577318256,0.5683503023206573,3.1717311546133757,True,6.0917707957462675,4.979273335340519,1.1533768801491426,True,False,0.23462139697108414,0.0012075518934475088,0.0,2500.0,-1.0,0.17168976813198095,0.007466225890059721,0.25,2500.0,-1.0,0.13784696198602012,0.0007986204921868923,0.0,7500.0,-1.0,0.2394168607611263,0.0025218035861451476,0.25,7500.0,-4.0,30.0,0.0015
516,100000.0,10000.0,3.7899021321644843,-2.8531899636819156,3.364408559399777,15.500286644767797,0.5290911781705117,3.3187744242118615,False,6.494065346511691,5.558026265930819,1.207643075341927,True,False,0.23169431243433225,0.0026422769932237006,0.25,5000.0,-4.0,0.18569305383094292,0.004944167324344739,0.75,5000.0,-1.0,0.22086173765679956,0.0009081526147624508,0.75,2500.0,-4.0,0.24588447590347035,0.010742309324078476,1.0,2500.0,-1.0,5.0,0.00025
517,100000.0,100000.0,1.7678775628663614,-1.6381036404811695,3.9801430735669987,16.659676927573333,0.5872574646713241,3.424512104671469,False,6.327544719818827,4.310149574275671,1.2876685338867944,False,False,0.19294439988001702,0.002784981335723523,0.5,7500.0,-1.0,0.20260200505143275,0.01233795890468727,0.0,2500.0,-3.0,0.11168588136605678,0.00037929060610806164,1.0,5000.0,-3.0,0.26517052957772735,0.009363695067851108,0.5,5000.0,-3.0,1233.0,0.0479
518,100000.0,10000.0,4.21463417118605,-3.2796116141869405,2.142833259248528,15.807429982413705,0.45319518948217763,3.0443356005263684,False,5.780186914075831,4.059195271025748,1.3855983024961946,True,False,0.2571498185461623,0.003161299157717698,0.25,5000.0,-2.0,0.17288703776589587,0.007219496364246982,0.75,5000.0,-1.0,0.25759707125002107,0.0011944033374600592,0.75,2500.0,-2.0,0.3021806692759264,0.005753454687237617,0.5,7500.0,-2.0,0.0,0.0
519,100000.0,100000.0,5.021170884141377,-5.078539127647503,3.1164195090648352,15.880255298496966,0.591539854180027,3.146322335218301,True,6.150529870848971,4.292444351675426,1.127838937818445,False,False,0.20337441011860388,0.004531882414275371,1.0,2500.0,-3.0,0.17736535478660334,0.0026598511275123314,1.0,7500.0,-3.0,0.19886348440499638,0.0015840981964282339,0.0,2500.0,-3.0,0.28113537518164916,0.003948565647818496,0.0,5000.0,-4.0,0.0,0.0
520,100000.0,100000.0,5.842207672206063,-4.979833017940839,2.408942869501523,16.52292527111517,0.4238137223519446,3.5650565421200966,False,6.38640378402415,4.016834008396627,1.2624144308449199,True,False,0.22119754384448667,0.0012122741032539756,0.0,2500.0,-3.0,0.17382238652480772,0.004903415876960543,1.0,7500.0,-3.0,0.13393442751404672,0.0028176569909670246,0.0,2500.0,-3.0,0.24034525644454718,0.007585565843549287,0.75,7500.0,-1.0,0.0,0.0
