,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,SampleSize,SamplesPSublot,NumberGrabs,Harvest Wash Red,Pre_cooling,WashingYN,TotalCFUFP
36,454000.0,1.0,10000.0,5.477828496481893,240.0,10.0,240.0,1.1063601827290552,True,False,10.0
37,4540.0,3.0,100.0,4.855179976216908,60.0,2.0,240.0,1.375479211781383,True,False,0.0
38,454000000.0,1.0,100000.0,2.6265103212996235,240.0,4.0,1.0,1.1932208571448784,True,False,72245.0
39,4540.0,1.0,100000.0,2.2569018467190647,240.0,10.0,1200.0,1.29725416346289,False,True,0.0
40,4540.0,3.0,1000.0,5.2734957041274715,600.0,4.0,600.0,1.3298964669943205,True,True,0.0
41,45400000.0,2.0,1000.0,6.496459761146495,120.0,10.0,1200.0,1.2360264296433976,False,False,0.0
42,454000.0,1.0,100000.0,2.7647362847137607,1200.0,8.0,120.0,1.1827350485149264,False,False,50.0
43,4540000.0,2.0,10000.0,4.272295174491925,60.0,1.0,600.0,1.2209527080035358,True,True,1.0
44,454000.0,1.0,100.0,3.343289532305141,240.0,5.0,600.0,1.1550913485393233,False,True,9.0
45,4540000.0,4.0,1000.0,2.7523644570488255,240.0,10.0,300.0,1.363160797885446,False,True,94.0
46,4540.0,1.0,100000.0,4.323550765161338,60.0,9.0,1.0,1.3365291615744,False,True,0.0
47,4540000.0,1.0,100000.0,4.602445581748139,240.0,7.0,1200.0,1.1732750802012981,True,True,0.0
48,45400.0,3.0,1000.0,6.880232133268058,600.0,4.0,1200.0,1.1400338061005186,False,False,0.0
49,454000.0,4.0,100.0,6.497062191550201,1200.0,3.0,1.0,1.2343163801989856,False,True,0.0
50,454000.0,4.0,100.0,4.549511462846608,60.0,10.0,300.0,1.1928391396336817,True,False,11.0
51,4540000.0,1.0,100.0,3.915728244804805,1200.0,9.0,300.0,1.350834847667358,False,True,76.0
52,4540.0,4.0,10000.0,3.035331144752842,1200.0,4.0,300.0,1.3596357729879143,True,False,0.0
53,4540000.0,1.0,100000.0,7.3000185000770585,600.0,8.0,300.0,1.149887770212685,False,False,45.0
54,45400000.0,1.0,100000.0,7.120422942991226,120.0,3.0,240.0,1.2372452812289558,True,True,56.0
55,4540.0,4.0,10000.0,3.233843201305674,600.0,1.0,240.0,1.244593266287294,False,False,0.0
56,4540000.0,1.0,100000.0,7.201858946591701,60.0,2.0,600.0,1.3998369534973296,False,True,1.0
57,45400000.0,1.0,100.0,6.618235742070049,1200.0,10.0,1.0,1.239209168055714,False,True,432.0
58,4540.0,4.0,10000.0,3.3521976981262083,600.0,6.0,60.0,1.194826423418116,True,True,0.0
59,45400000.0,1.0,1000.0,2.34622643892028,120.0,1.0,60.0,1.106839445717358,False,True,692.0
60,4540000.0,4.0,100.0,3.1164116849904584,240.0,3.0,120.0,1.2301024079462304,False,True,121.0
61,454000000.0,4.0,10000.0,4.079587866981358,600.0,4.0,1200.0,1.2482639443302619,True,True,0.0
62,45400.0,2.0,10000.0,6.139041693195257,600.0,9.0,1.0,1.2443657866495517,False,False,0.0
63,4540.0,3.0,100.0,3.75030045758756,1200.0,10.0,600.0,1.2546119427389795,False,False,0.0
64,454000000.0,4.0,100.0,5.6094142094205885,120.0,10.0,240.0,1.2358100371776521,False,False,0.0
65,454000.0,4.0,1000.0,3.885096525684257,1200.0,5.0,60.0,1.1820918783614673,False,True,1.0
66,454000.0,3.0,1000.0,5.055405501724092,600.0,4.0,1.0,1.1028612566190168,False,True,0.0
67,454000.0,1.0,10000.0,3.2909451434777335,240.0,3.0,1200.0,1.1102032700059372,False,False,64.0
68,4540000.0,3.0,1000.0,6.217996379484243,240.0,8.0,1200.0,1.1093560323901566,False,False,0.0
69,45400.0,1.0,10000.0,7.132956660684434,120.0,1.0,1200.0,1.3705941474841414,False,True,0.0
70,4540.0,4.0,10000.0,3.074909924481216,60.0,6.0,60.0,1.1668025607406034,True,False,0.0
71,4540000.0,1.0,100000.0,5.009903255754439,120.0,2.0,300.0,1.2647449124655765,True,False,135.0
72,4540000.0,4.0,10000.0,4.493008719197627,60.0,6.0,600.0,1.3257031813688247,True,True,5.0
73,454000000.0,4.0,1000.0,6.0231135581042095,600.0,1.0,600.0,1.1087990981510472,False,False,0.0
74,45400000.0,1.0,100000.0,4.119759347528866,240.0,10.0,600.0,1.2992773430819422,True,True,0.0
75,454000000.0,2.0,100.0,3.0662314519120226,240.0,9.0,1200.0,1.399073138465013,False,False,32796.0
76,454000.0,3.0,10000.0,6.523919537745314,120.0,2.0,240.0,1.2297503965022019,True,False,5.0
77,4540000.0,1.0,10000.0,4.334787054217881,240.0,4.0,600.0,1.265605564721263,False,False,0.0
78,454000000.0,4.0,1000.0,4.142864104852675,600.0,5.0,300.0,1.2758817655243828,True,False,0.0
79,454000.0,1.0,10000.0,5.318933648610614,600.0,1.0,300.0,1.2200514610900899,False,False,14.0
80,45400.0,1.0,1000.0,3.8523234044304253,600.0,10.0,60.0,1.2082968916332504,False,False,3.0
81,45400.0,4.0,10000.0,7.226317485645146,60.0,1.0,240.0,1.1698568168063932,True,False,0.0
82,45400000.0,2.0,10000.0,5.839905853279449,600.0,3.0,300.0,1.350624874066568,False,False,0.0
83,454000000.0,1.0,100000.0,4.348635087930281,1200.0,10.0,1200.0,1.3911579073709262,True,False,0.0
84,45400000.0,1.0,100000.0,4.555209206693958,60.0,5.0,1200.0,1.1801998438397023,True,False,0.0
85,4540000.0,4.0,100.0,3.8770858572403855,60.0,10.0,1200.0,1.1271099201993144,False,False,363.0
86,45400.0,3.0,1000.0,3.739087153674169,60.0,3.0,600.0,1.2054800921462956,False,False,2.0
