,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,TotalCFUFP,PropCont,No Clusters
295,49400.36341952582,,100000.0,2.256505449961476,-1.7880607803128072,2.392288066103917,16.31020415047329,0.46700343760113056,3.58591920377004,False,5.831417593967115,4.3312927376653105,1.152981985061252,True,True,0.25425480219361485,0.0028870538277754724,0.5,2500.0,-4.0,0.17176855619007894,0.007384324475117439,0.25,5000.0,-4.0,0.2952455280517291,0.001095577873199275,0.75,5000.0,-2.0,0.29751540906374413,0.012000618361178546,0.5,2500.0,-2.0,125.0,0.0062,1.0
296,32719.586146009577,,100000.0,1.6468353009402479,-1.0914246178090514,2.408516117180463,16.59120822205798,0.4849101434586514,3.1831884683090723,True,5.645350731877848,4.875768304339822,1.1019038439081466,False,True,0.20491987414623097,0.0022420262933337924,0.5,2500.0,-2.0,0.184707800792825,0.008405425522902955,1.0,2500.0,-2.0,0.12414286762485731,0.0026368026887924586,0.25,5000.0,-3.0,0.2500282951521785,0.007068916377361229,0.75,5000.0,-3.0,629.0,0.0309,1.0
297,15367.599453639925,,100000.0,3.215387126218945,-2.0697909864532478,2.20411541462731,16.25624968423382,0.5187914866281564,3.891236707230638,False,5.421596789714702,5.971879034677327,1.3786688205579907,True,False,0.19762765664682377,0.000676283210839008,0.0,7500.0,-3.0,0.18477990589427198,0.006707772407518292,0.25,2500.0,-3.0,0.27000589503550987,0.0014426994496651545,1.0,7500.0,-2.0,0.256989605379314,0.0026181555821295477,0.75,5000.0,-2.0,169.0,0.0083,1.0
298,191995.13693930575,,300.0,3.070250911730237,-2.2818238154548296,2.218300575713078,15.306051017289793,0.4078748710254639,3.2610139837031227,False,5.977407241857573,5.879950549932024,1.3426308412500876,True,True,0.19699822035333853,0.0011607209657999444,0.5,7500.0,-3.0,0.1853390949168457,0.008070085834473963,1.0,5000.0,-3.0,0.11895042237134446,0.0019631157503511095,1.0,2500.0,-2.0,0.2813902929049896,0.0059965706299627865,0.0,2500.0,-3.0,372.0,0.0162,1.0
299,160002.42596206517,,300.0,3.3463145240181693,-2.407793157272417,2.6071803880471753,16.502039612801084,0.5292171413735179,3.9518092566821346,True,6.932495342822554,4.686680781607533,1.3791820352420108,False,False,0.1750563415507906,0.0018889478548205748,0.0,5000.0,-2.0,0.1655500835007628,0.006413873725560185,0.75,5000.0,-3.0,0.27554645401411576,0.0025289145537691167,0.0,2500.0,-3.0,0.27737532147040483,0.007049964574933497,0.0,5000.0,-4.0,630.0,0.02225,1.0
300,9588.053647658513,,100000.0,2.9533942206990593,-2.2807776070587473,2.9292416848869256,16.464011842070384,0.4605988921450914,3.94345866421527,False,6.890967819109744,4.531119611138738,1.3931984954235748,True,False,0.20467904604959508,0.0007239976077755766,0.0,2500.0,-4.0,0.18758342910883774,0.008848543268389082,0.0,7500.0,-3.0,0.2849728958798995,0.0013388458649462279,0.75,5000.0,-4.0,0.24203863423573452,0.009573928142136291,0.5,2500.0,-2.0,0.0,0.0,1.0
301,109456.2344436807,,300.0,2.0127250465461186,-2.047442908222662,2.6121724412828646,16.275609888585365,0.47736468431260143,3.831137079833509,True,6.597333861721928,5.090602581999433,1.2997347724542136,False,False,0.19443535679248336,0.0034269493071816164,0.0,7500.0,-2.0,0.19229666677970092,0.004872796211091276,0.75,5000.0,-2.0,0.2528800717253041,0.0011975691760353342,0.5,2500.0,-1.0,0.2575498676849761,0.004027989643767075,0.75,5000.0,-2.0,1120.0,0.0301,1.0
302,319235.100158691,,100000.0,3.1823830256706493,-2.45452350389792,3.0364191310281132,15.063269701113802,0.46145444089615084,3.497741376937785,False,5.999053740707917,5.380417064772265,1.3149765211263549,True,True,0.18345412963736651,0.001928522362671646,0.25,2500.0,-4.0,0.2020141065666309,0.005587959504859216,0.0,2500.0,-4.0,0.11759022133915206,0.0013358663564542687,0.0,5000.0,-3.0,0.27205425482231455,0.00980167974750441,0.0,5000.0,-3.0,271.0,0.0135,1.0
303,104012.49164180794,,100000.0,3.576664412129559,-3.0831895003389373,2.5335722499370155,15.73437367186228,0.4745809231205339,3.3654566967254094,True,5.96341718806509,4.44560313432988,1.2256266542693377,True,False,0.18839339489588192,0.002946973346725212,0.75,5000.0,-4.0,0.1963496658439007,0.005076130321081775,0.0,2500.0,-4.0,0.09501667093208616,0.0011860056860231003,0.75,2500.0,-3.0,0.28198862581671535,0.005662731088103208,0.5,2500.0,-4.0,64.0,0.0032,1.0
304,159125.52324175416,,300.0,5.0859645825918385,-3.0452273087133017,3.582580747132802,16.150645844032237,0.4680680172023436,3.87008899671987,False,6.5695469023416955,4.170733635057996,1.2198475510613207,False,False,0.23389318934457612,0.0028975186292918673,0.5,7500.0,-4.0,0.18594890018190569,0.01222655659822052,0.5,5000.0,-3.0,0.11294768686547817,0.00023758740485946191,0.5,2500.0,-2.0,0.26976324276718683,0.0034606348604253492,0.5,2500.0,-1.0,170.0,0.00775,1.0
