,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,SampleSize,SamplesPSublot,NumberGrabs,Harvest Wash Red,Pre_cooling,WashingYN,TotalCFUFP
67,45400000.0,1.0,100000.0,4.231490410929844,-3.589952389132513,600.0,2.0,240.0,1.136911392077145,True,True,0.0
68,454000.0,1.0,100000.0,6.748359208727553,-6.179271017482041,60.0,5.0,300.0,1.1774643364902244,False,False,0.0
69,4540.0,4.0,1000.0,4.191490976059317,-3.7006605296831294,1200.0,1.0,240.0,1.3489415341231423,False,True,0.0
70,45400.0,1.0,100.0,5.637432228501163,-4.348675913528596,240.0,1.0,600.0,1.289376230971566,True,False,0.0
71,454000.0,4.0,1000.0,2.977316482908253,-1.5391974829483108,1200.0,1.0,1.0,1.1961919268016346,True,False,898.0
72,45400.0,2.0,10000.0,5.808241347676169,-4.562525800161471,120.0,9.0,300.0,1.2551659718701789,False,True,0.0
73,454000000.0,2.0,1000.0,5.236057377585128,-2.4134309487477035,120.0,7.0,60.0,1.3045232308692505,False,True,0.0
74,45400.0,1.0,100000.0,2.5789595689753613,-1.4307336840889124,120.0,8.0,240.0,1.3575932394547832,True,False,75.0
75,454000.0,1.0,100000.0,4.8126009539470775,-2.7379922591477275,60.0,6.0,120.0,1.2216723864601815,False,False,19.0
76,45400000.0,1.0,100.0,5.6858434832632465,-4.592052603007,240.0,2.0,300.0,1.376981297803867,True,True,0.0
77,45400000.0,1.0,100.0,4.592264579419939,-4.503337473242282,1200.0,9.0,1.0,1.240456401174457,True,False,71.0
78,45400000.0,3.0,10000.0,6.120000547501247,-3.919342598989951,120.0,7.0,240.0,1.3277876286935542,True,True,0.0
79,4540000.0,1.0,100000.0,5.802374691608881,-4.693907212314991,60.0,6.0,600.0,1.1617281013582335,True,True,0.0
80,4540000.0,2.0,1000.0,5.489790983528893,-3.005484475780751,240.0,3.0,600.0,1.134238955239984,False,False,0.0
81,454000000.0,1.0,100000.0,3.6986473098442714,-3.6584479822575866,240.0,7.0,60.0,1.1583773278722844,False,True,2775.0
82,454000000.0,3.0,1000.0,2.855808631667525,-1.4238290888345986,1200.0,2.0,240.0,1.310896138994014,False,True,153147.0
83,45400000.0,3.0,10000.0,5.641050741692547,-2.9616367614761976,120.0,8.0,60.0,1.3227536047107173,True,True,0.0
84,4540000.0,2.0,100.0,7.2060589803167465,-5.002932744654686,1200.0,3.0,300.0,1.1038035348672262,False,False,0.0
85,4540.0,1.0,100000.0,3.2589437210128915,-2.8494210668330835,600.0,5.0,600.0,1.1047239790336132,True,True,0.0
86,4540.0,4.0,100.0,4.049123168883147,-3.3317030151292943,60.0,9.0,1.0,1.32954566350837,False,False,0.0
87,4540000.0,4.0,10000.0,3.656738459889233,-3.296177845969583,120.0,7.0,600.0,1.1284091107510912,True,True,14.0
88,4540.0,1.0,100000.0,3.824650363735187,-3.5481314445345973,240.0,8.0,300.0,1.36525932426371,True,True,0.0
89,45400000.0,1.0,1000.0,3.938081496194936,-2.061960583196288,1200.0,8.0,1200.0,1.1381479514768258,True,False,29468.0
90,4540.0,3.0,1000.0,4.249640516601318,-2.8198372217914,1200.0,1.0,60.0,1.24076149288275,False,False,0.0
91,454000000.0,4.0,10000.0,5.699361423490416,-3.6782276616561465,60.0,9.0,1.0,1.1871110110798238,True,True,0.0
92,45400000.0,1.0,100000.0,2.438843826295551,-2.4580591519219266,120.0,4.0,240.0,1.2089286729063473,False,False,11041.0
