,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,PHS4d,PHS4h,PHSInt,HS,RS,FPS,CS,TotalCFUFP,PropCont
875,100000.0,10000.0,4.142766755292113,-1.8046463783050972,3.8114050948384612,15.49680389039082,0.4935114168191039,3.8517441462096387,True,6.62667766740254,5.0207518036049965,1.1085381038707287,True,True,1.1085381038707287,0.2163704829460772,0.003067836880408889,0.75,2500.0,-3.0,0.17587657110173283,0.006389545279500612,0.75,2500.0,-4.0,0.22975135744239525,0.0007228084672441602,0.75,2500.0,-2.0,0.267486061716048,0.0010689456913211166,0.5,5000.0,-3.0,24.0,4.970377608935398,63.57,1.663627616904058,24.0,4.0,False,False,False,True,False,False,False,10.0,0.0005
876,100000.0,10000.0,4.997552327578452,-2.7153760922009385,2.577836865280391,15.862164807582788,0.43917020729221923,3.6316597770166865,True,6.429781821368959,5.856159417037979,1.145147052958205,True,True,1.145147052958205,0.1754824020027768,0.0029286665394102425,0.5,7500.0,-2.0,0.1639953091061022,0.0017371693046203001,0.0,7500.0,-2.0,0.2577291752230739,0.0012424465629776757,0.75,7500.0,-3.0,0.27221601800481005,0.0032955439111127622,0.75,5000.0,-1.0,24.0,5.149486597488036,63.57,4.1147765124235205,24.0,4.0,False,True,False,False,False,False,False,0.0,0.0
877,100000.0,1000.0,1.693472374329676,-1.60983201143016,2.603843164374425,16.245860951485948,0.40057818262046835,3.906619003960544,False,6.205416566385511,5.3217008442334155,1.4433314571042872,False,True,1.4433314571042872,0.26420679003588776,0.0017875424131048227,0.5,5000.0,-1.0,0.16576479818386117,0.003335818254309456,0.75,7500.0,-3.0,0.14363263726202896,0.0010009819998034169,0.25,5000.0,-1.0,0.2724980081373991,0.0056641326866058266,0.5,5000.0,-2.0,24.0,5.87232918115893,63.57,3.355364467806748,24.0,4.0,False,False,False,False,False,True,False,581.0,0.0178
878,100000.0,1000.0,2.053148942200377,-1.4561198745824064,2.639682719272718,16.081516977960092,0.5202593494161296,3.4016912139067523,False,5.443022537412857,5.060053476731274,1.3587440315193675,True,True,1.3587440315193675,0.20234104912362255,0.0023527648034700147,0.75,5000.0,-1.0,0.19455587602119342,0.009735415555148704,1.0,2500.0,-3.0,0.2709643313819665,0.0025768828506877424,1.0,2500.0,-3.0,0.25194217184536793,0.005560264037747552,0.5,7500.0,-1.0,24.0,5.511406027015921,63.57,2.916405128604068,24.0,4.0,False,False,False,False,False,False,True,21.0,0.001
879,100000.0,10000.0,3.6887278605606286,-2.7212552170371502,2.1671867242223004,15.317133328852066,0.5506908486449063,3.25581547193932,False,6.436233824393949,4.530996165343232,1.4074180364066156,False,False,1.4074180364066156,0.1830304714859123,0.0018365136575196996,0.25,7500.0,-2.0,0.19408230987587166,0.0033423936752477595,1.0,5000.0,-2.0,0.17323179174746353,0.0023579017005984715,1.0,2500.0,-4.0,0.29153824894899133,0.008629997088464868,0.25,7500.0,-2.0,24.0,4.859342979591242,63.57,3.831698245158745,24.0,4.0,False,False,False,False,True,False,False,29.0,0.00145
880,100000.0,1000.0,1.640494416488364,-1.5656201236429244,2.3451373776790696,15.349256114848265,0.43122280097849064,3.4709438963530648,False,5.354146308162628,4.93767662091105,1.406567320158227,True,True,1.406567320158227,0.1888033707875115,0.0037642730190305196,0.25,2500.0,-4.0,0.18922042759298036,0.0010222008576172416,0.75,5000.0,-2.0,0.21711027212534506,0.0010271556182521627,0.5,2500.0,-3.0,0.28842248659276537,0.006243496680797711,0.0,7500.0,-3.0,24.0,4.223616835795319,63.57,3.1336371855546217,24.0,4.0,False,False,True,False,False,False,False,5.0,0.00025
881,100000.0,1000.0,3.6847317676429188,-3.2039409916416504,2.8350035357206913,15.805134565857934,0.4688195720123151,3.2405690098339592,False,6.011397682273264,4.2213501324155835,1.3275191005499802,False,True,1.3275191005499802,0.18895409184623402,0.0012511674899127398,1.0,5000.0,-2.0,0.16585441448441793,0.0030240313674630135,0.5,5000.0,-2.0,0.0934708193904234,0.00101761252532241,0.5,5000.0,-1.0,0.2672020666358675,0.006039965464915288,0.75,2500.0,-2.0,24.0,4.887268309826598,63.57,1.689018683374328,24.0,4.0,False,False,False,False,True,False,False,3.0,0.00015
882,100000.0,1000.0,4.5980519508669175,-3.569990508809271,3.0048999113291703,15.690772017548142,0.4000913279962001,3.7826863797845727,False,5.735789622846445,4.6712370772307095,1.2690475108189854,False,False,1.2690475108189854,0.2511906712687806,0.0025331273239328107,0.0,2500.0,-2.0,0.19816575191991062,0.0090570721590621,0.5,7500.0,-4.0,0.14603115640714964,0.002241084436556148,0.5,2500.0,-3.0,0.2840158855097225,0.0036662524819191054,0.25,5000.0,-4.0,24.0,5.953000006129488,63.57,2.819177343086308,24.0,4.0,False,False,False,True,False,False,False,13.0,0.00045
883,100000.0,1000.0,1.8675443752545695,-1.618873073552609,3.701425393771962,15.890609340157454,0.4135369286276974,3.80276313437685,False,6.731493962722761,4.351419497376832,1.1803964973612375,False,False,1.1803964973612375,0.2015645316578757,0.0030949772018193226,1.0,7500.0,-4.0,0.16103407053515778,0.005546295940717611,0.0,5000.0,-2.0,0.28087634481465046,0.002405326582705644,1.0,7500.0,-2.0,0.28477692030346824,0.0006182731292812223,0.5,7500.0,-4.0,24.0,4.679753556171658,63.57,0.8873744058155087,24.0,4.0,False,False,True,False,False,False,False,609.0,0.0213
884,100000.0,100000.0,4.3454781342680775,-2.579794798604946,3.9762231641706283,15.97998654287388,0.4816349758812017,3.2368518148908536,True,5.18296598401091,5.7463933333634,1.3118493959893867,False,True,1.3118493959893867,0.21771159763341352,0.002274791162839105,0.75,2500.0,-4.0,0.209482988119852,0.0055656721320696,0.75,2500.0,-3.0,0.169844084217939,0.000934354113953264,0.0,7500.0,-2.0,0.24939972752510933,0.0036829779117689265,0.5,5000.0,-4.0,24.0,5.169451581096697,63.57,3.613378165164125,24.0,4.0,False,False,False,False,True,False,False,27.0,0.00135
