"","Type","Mass","variable","Cont","mean","CI_95","CI_05"
"122","Harvest","20 Tomato Mash","Power_Pick_1","10%",0.065,0.113,0.039
"123","Harvest","20 Tomato Mash","Power_Pick_1","1%",0.03,0.06,0.02
"124","Harvest","20 Tomato Mash","Power_Pick_1","0.1%",0.005,0.021,0
"125","Harvest","20 Tomato Mash","Power_Pick_2","100%",0.085,0.121,0.05
"126","Harvest","20 Tomato Mash","Power_Pick_2","10%",0.07,0.111,0.049
"127","Harvest","20 Tomato Mash","Power_Pick_2","1%",0.04,0.061,0.02
"128","Harvest","20 Tomato Mash","Power_Pick_2","0.1%",0,0.02,0
"129","Harvest","20 Tomato Mash","Power_Pick_3","100%",0.08,0.12,0.059
"130","Harvest","20 Tomato Mash","Power_Pick_3","10%",0.07,0.111,0.04
"131","Harvest","20 Tomato Mash","Power_Pick_3","1%",0.04,0.06,0.029
"132","Harvest","20 Tomato Mash","Power_Pick_3","0.1%",0,0.021,0
"133","Harvest","60 Tomato Mash","Power_Pick_1","100%",0.17,0.221,0.119
"134","Harvest","60 Tomato Mash","Power_Pick_1","10%",0.135,0.21,0.104
"135","Harvest","60 Tomato Mash","Power_Pick_1","1%",0.105,0.15,0.05
"136","Harvest","60 Tomato Mash","Power_Pick_1","0.1%",0.02,0.05,0.01
"137","Harvest","60 Tomato Mash","Power_Pick_2","100%",0.16,0.21,0.14
"138","Harvest","60 Tomato Mash","Power_Pick_2","10%",0.14,0.19,0.11
"139","Harvest","60 Tomato Mash","Power_Pick_2","1%",0.11,0.13,0.069
"140","Harvest","60 Tomato Mash","Power_Pick_2","0.1%",0.02,0.05,0.01
"141","Harvest","60 Tomato Mash","Power_Pick_3","100%",0.155,0.201,0.119
"142","Harvest","60 Tomato Mash","Power_Pick_3","10%",0.13,0.171,0.099
"143","Harvest","60 Tomato Mash","Power_Pick_3","1%",0.1,0.15,0.069
"144","Harvest","60 Tomato Mash","Power_Pick_3","0.1%",0.02,0.042,0.009
"145","Receiving","2 Tomatoes","Power_Pick_1","100%",0.055,0.081,0.02
"146","Receiving","2 Tomatoes","Power_Pick_1","10%",0.03,0.051,0.01
"147","Receiving","2 Tomatoes","Power_Pick_1","1%",0.005,0.021,0
"148","Receiving","2 Tomatoes","Power_Pick_1","0.1%",0,0,0
"149","Receiving","2 Tomatoes","Power_Pick_2","100%",0.06,0.081,0.039
"150","Receiving","2 Tomatoes","Power_Pick_2","10%",0.04,0.051,0.019
"151","Receiving","2 Tomatoes","Power_Pick_2","1%",0.01,0.02,0
"152","Receiving","2 Tomatoes","Power_Pick_2","0.1%",0,0,0
"153","Receiving","2 Tomatoes","Power_Pick_3","100%",0.05,0.08,0.029
"154","Receiving","2 Tomatoes","Power_Pick_3","10%",0.03,0.051,0.029
"155","Receiving","2 Tomatoes","Power_Pick_3","1%",0.005,0.03,0
"156","Receiving","2 Tomatoes","Power_Pick_3","0.1%",0,0,0
"157","Receiving","6 Tomatoes","Power_Pick_1","100%",0.14,0.181,0.09
"158","Receiving","6 Tomatoes","Power_Pick_1","10%",0.07,0.101,0.05
"159","Receiving","6 Tomatoes","Power_Pick_1","1%",0.02,0.05,0
"160","Receiving","6 Tomatoes","Power_Pick_1","0.1%",0,0.01,0
"161","Receiving","6 Tomatoes","Power_Pick_2","100%",0.14,0.171,0.089
"162","Receiving","6 Tomatoes","Power_Pick_2","10%",0.09,0.13,0.05
"163","Receiving","6 Tomatoes","Power_Pick_2","1%",0.02,0.04,0.01
"164","Receiving","6 Tomatoes","Power_Pick_2","0.1%",0,0.01,0
"165","Receiving","6 Tomatoes","Power_Pick_3","100%",0.13,0.171,0.108
"166","Receiving","6 Tomatoes","Power_Pick_3","10%",0.07,0.1,0.049
"167","Receiving","6 Tomatoes","Power_Pick_3","1%",0.02,0.041,0.01
"168","Receiving","6 Tomatoes","Power_Pick_3","0.1%",0,0.01,0
"169","Receiving","20 Tomatoes","Power_Pick_1","100%",0.225,0.273,0.178
"170","Receiving","20 Tomatoes","Power_Pick_1","10%",0.18,0.22,0.119
"171","Receiving","20 Tomatoes","Power_Pick_1","1%",0.055,0.1,0.019
"172","Receiving","20 Tomatoes","Power_Pick_1","0.1%",0.01,0.01,0
"173","Receiving","20 Tomatoes","Power_Pick_2","100%",0.235,0.311,0.189
"174","Receiving","20 Tomatoes","Power_Pick_2","10%",0.175,0.242,0.14
"175","Receiving","20 Tomatoes","Power_Pick_2","1%",0.07,0.1,0.049
"176","Receiving","20 Tomatoes","Power_Pick_2","0.1%",0.01,0.02,0
"177","Receiving","20 Tomatoes","Power_Pick_3","100%",0.23,0.261,0.176
"178","Receiving","20 Tomatoes","Power_Pick_3","10%",0.18,0.22,0.13
"179","Receiving","20 Tomatoes","Power_Pick_3","1%",0.06,0.091,0.03
"180","Receiving","20 Tomatoes","Power_Pick_3","0.1%",0.01,0.03,0
"181","Receiving","60 Tomatoes","Power_Pick_1","100%",0.295,0.352,0.23
"182","Receiving","60 Tomatoes","Power_Pick_1","10%",0.265,0.311,0.2
"183","Receiving","60 Tomatoes","Power_Pick_1","1%",0.13,0.19,0.099
"184","Receiving","60 Tomatoes","Power_Pick_1","0.1%",0.02,0.04,0
"185","Receiving","60 Tomatoes","Power_Pick_2","100%",0.3,0.371,0.259
"186","Receiving","60 Tomatoes","Power_Pick_2","10%",0.27,0.304,0.238
"187","Receiving","60 Tomatoes","Power_Pick_2","1%",0.165,0.211,0.139
"188","Receiving","60 Tomatoes","Power_Pick_2","0.1%",0.03,0.051,0.01
"189","Receiving","60 Tomatoes","Power_Pick_3","100%",0.295,0.322,0.244
"190","Receiving","60 Tomatoes","Power_Pick_3","10%",0.265,0.271,0.208
"191","Receiving","60 Tomatoes","Power_Pick_3","1%",0.15,0.19,0.08
"192","Receiving","60 Tomatoes","Power_Pick_3","0.1%",0.03,0.051,0.01
"193","Receiving","20 Tomato Mash","Power_Pick_1","100%",0.085,0.13,0.05
"194","Receiving","20 Tomato Mash","Power_Pick_1","10%",0.055,0.092,0.03
"195","Receiving","20 Tomato Mash","Power_Pick_1","1%",0.03,0.051,0.02
"196","Receiving","20 Tomato Mash","Power_Pick_1","0.1%",0.005,0.021,0
"197","Receiving","20 Tomato Mash","Power_Pick_2","100%",0.07,0.14,0.039
"198","Receiving","20 Tomato Mash","Power_Pick_2","10%",0.09,0.11,0.039
"199","Receiving","20 Tomato Mash","Power_Pick_2","1%",0.04,0.06,0.02
"200","Receiving","20 Tomato Mash","Power_Pick_2","0.1%",0,0.021,0
"201","Receiving","20 Tomato Mash","Power_Pick_3","100%",0.07,0.111,0.04
"202","Receiving","20 Tomato Mash","Power_Pick_3","10%",0.06,0.111,0.04
"203","Receiving","20 Tomato Mash","Power_Pick_3","1%",0.03,0.05,0.019
"204","Receiving","20 Tomato Mash","Power_Pick_3","0.1%",0,0.021,0
"205","Receiving","60 Tomato Mash","Power_Pick_1","100%",0.155,0.202,0.117
"206","Receiving","60 Tomato Mash","Power_Pick_1","10%",0.125,0.182,0.107
"207","Receiving","60 Tomato Mash","Power_Pick_1","1%",0.095,0.141,0.059
"208","Receiving","60 Tomato Mash","Power_Pick_1","0.1%",0.02,0.05,0.01
"209","Receiving","60 Tomato Mash","Power_Pick_2","100%",0.17,0.201,0.129
"210","Receiving","60 Tomato Mash","Power_Pick_2","10%",0.135,0.182,0.119
"211","Receiving","60 Tomato Mash","Power_Pick_2","1%",0.11,0.131,0.078
"212","Receiving","60 Tomato Mash","Power_Pick_2","0.1%",0.02,0.04,0.009
