,InitialCont,ClusterSize,Time_CE_H,Time_H_PC,Temp_H_PC,Time_Precooling,Temp_Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,ChSpray_eff,TotalRedPre_wash,TotalRed_wash,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,TotalCFUFP,PropCont
844,100000.0,10000.0,4.75109618482931,2.3500678590493904,16.525698492492232,0.5794414506899341,3.108386103542715,True,0.0,5.572584394964171,1.4321755189330723,-1.6127838567197355,inf,0.18909134359835517,0.003973052543531563,0.25,7500.0,-1.0,0.18873243482280982,0.008384508562812393,0.75,2500.0,-2.0,0.27206726795542,0.0012361537852019228,0.0,5000.0,-4.0,0.28015108072890754,0.005159801760363689,0.75,2500.0,-1.0,0.11902802073688545,5.307642978582914,38.23930504690771,4.046690330035822,47.498826090153564,3.0514714921739636,0.0,0.0
845,100000.0,10000.0,2.816635056388644,2.514645250857458,16.890540884005016,0.5505202638476714,3.7315787831502765,True,0.0,5.668476885786042,1.130724359842621,-1.0611172459698894,0.7501225267834001,0.235777282223379,0.0030291840928093005,1.0,2500.0,-1.0,0.2086218374808802,0.003098769939453823,0.75,2500.0,-4.0,0.24545804616270425,0.002334769851410531,0.0,2500.0,-3.0,0.3032758222279377,0.008162550263247864,0.75,7500.0,-1.0,0.6772921909042363,5.00906185555674,38.1871757594719,2.466813436412038,26.5149281074752,8.39068193762748,6.0,0.0003
846,100000.0,1000.0,1.2406198293435817,3.480891225861355,16.94845535985423,0.5744772184539009,3.756508620701328,True,0.0,4.676620851412267,1.2434762388031677,-1.246906560611528,1.7041505168397992,0.27156288941712414,0.002753001686557392,0.0,2500.0,-4.0,0.15913656817062075,0.006847498294325679,0.5,7500.0,-4.0,0.2812075146292917,0.0003769537271164919,0.25,7500.0,-3.0,0.2696838386848718,0.0029328901837903094,0.25,7500.0,-4.0,0.1565039114238861,4.584935430561607,48.59017481397697,3.416861010456708,36.92035784908622,4.43961184289234,3.0,0.00015
847,100000.0,100000.0,6.594920629671634,2.5561698471889436,15.453450542049389,0.5401767921237298,3.5890216338210994,True,0.0,5.464406946341317,1.3312414912981578,-inf,,0.25664719587397805,0.002117394542435732,1.0,2500.0,-4.0,0.17644597157750122,0.004609010877233456,0.5,2500.0,-2.0,0.1301504403771,0.002708781450580779,0.25,2500.0,-1.0,0.2556011468380534,0.006174422318016317,0.75,5000.0,-3.0,0.782799587715262,5.174045270268409,66.27120488796365,3.7821741670773625,70.70247091934712,3.286024204839409,0.0,0.0
848,100000.0,100000.0,3.8001183733772583,3.83330977892503,15.613604921389292,0.4973009315335198,3.3952500242452146,True,0.0,4.207513840928464,1.2100701444798805,-1.423245873936808,inf,0.24708756611641178,0.002328718125301301,0.0,2500.0,-3.0,0.19425934174330906,0.003370962247554489,0.5,2500.0,-1.0,0.21406323501603655,0.0001920369440616374,0.0,7500.0,-1.0,0.30348133523468407,0.010396392888941317,0.25,2500.0,-4.0,0.3056516737975512,5.351941528327656,40.958825319269415,3.138386724433342,32.657675389629475,7.022974264473805,0.0,0.0
849,100000.0,1000.0,7.1283226810169165,2.962719817728283,15.612167310846173,0.4258570776912062,3.913580601681108,True,0.0,4.582365184163647,1.3646492751759531,-1.3617278360175928,inf,0.2612449229103132,0.0007136548570364249,0.5,5000.0,-3.0,0.20014560364856684,0.005044646071343771,0.0,5000.0,-2.0,0.26562578858975283,0.0025034900586351954,0.75,2500.0,-4.0,0.263443455701167,0.0026963831877867715,0.75,7500.0,-3.0,0.4488862749479724,5.128477596119366,72.33356378248084,0.7372454202109298,25.293925449974573,2.1457913259487325,0.0,0.0
850,100000.0,100000.0,7.552652775290978,3.169195549845337,15.76321914395903,0.44563517553536885,3.132418815268533,True,0.0,4.115848749158634,1.1018014096362099,,,0.1838284333172533,0.0032305388369195096,1.0,2500.0,-3.0,0.20739904352637617,0.013088014043091,0.0,2500.0,-4.0,0.17300187359783978,0.0008333239250123098,0.0,7500.0,-3.0,0.26385543562400016,0.004417369216857786,0.0,7500.0,-4.0,0.8497657325505773,4.792287700524022,66.71713229576389,2.1653508426225114,24.112565827302962,6.466445312441225,0.0,0.0
851,100000.0,100000.0,3.2261465921854016,2.3534224835999606,15.193986754794135,0.4720495727946977,3.418861695578747,True,0.0,4.618644736235932,1.3577189005819488,-1.4354950151154198,1.4913616938342726,0.2593471919281811,0.003116604548781356,0.0,2500.0,-1.0,0.17174970890852367,0.0056180658504640536,0.0,7500.0,-1.0,0.09963675064758906,0.0005545611338124632,1.0,7500.0,-2.0,0.2750192458355896,0.006009928772080796,0.25,7500.0,-2.0,0.9886187041475267,4.393623465312447,33.9518275307128,2.7597208820667896,24.27859227830369,4.818305910875638,1.0,5e-05
852,100000.0,10000.0,2.6887794093584816,2.3311379752566657,16.567189131455237,0.557419229767195,3.9776554354921663,True,0.0,5.835879845272243,1.4242450707026963,-1.4099331233312946,1.2108533653148932,0.19744213544632888,0.001748073959160126,1.0,5000.0,-3.0,0.17975434731075127,0.01048764799028438,0.0,5000.0,-4.0,0.16507756655178224,0.0016374470810247245,0.5,5000.0,-3.0,0.25577570413013806,0.003509733747672659,1.0,2500.0,-1.0,0.17686008822878996,4.493336209328943,49.325753191329994,2.4671202238993066,54.74944812245963,8.718819505295407,4.0,0.0002
853,100000.0,10000.0,3.4966374271584364,3.8777054053496274,15.438091473948607,0.5108225157496945,3.053082775258253,True,0.0,4.856191733500242,1.1148453341925324,-1.150406833657513,1.7032913781186614,0.21887269498166256,0.0026900760857147756,0.5,2500.0,-3.0,0.19799344422203446,0.009364327680078291,0.75,2500.0,-2.0,0.20194271251930576,0.002122344434375538,0.25,5000.0,-4.0,0.29448448284256984,0.006455425204135567,0.25,2500.0,-1.0,0.5500204223802257,4.719792910538976,35.16320633168304,3.942595980867345,68.58563837851104,8.714325842717528,2.0,0.0001
854,100000.0,10000.0,4.070804342264351,2.0730383561201746,16.025342388370724,0.5204214762341033,3.3366510042376722,True,0.0,4.410929096186099,1.3926412636277241,-inf,,0.19844418778489809,0.004769292383921998,0.75,2500.0,-1.0,0.16949817893969482,0.004979311257043452,0.25,5000.0,-2.0,0.1020574585187258,0.00084089556033181,0.25,2500.0,-3.0,0.2804743728007384,0.005808778217901225,0.0,2500.0,-3.0,0.6417160601988018,4.54336394803758,60.22763508959062,3.9975092079915044,55.63230688612819,7.849600005565602,0.0,0.0
855,100000.0,1000.0,2.791274080256822,3.290848481958505,15.244211714299263,0.5014255456649092,3.325600837725651,True,0.0,5.08153605170167,1.4143059859251794,-1.408500881199483,0.7160033436347992,0.19567661869350184,0.0015213408015372493,0.0,7500.0,-2.0,0.21618189761268466,0.003392990285632839,0.75,7500.0,-4.0,0.24090310813970156,0.0014696970531818021,0.25,2500.0,-2.0,0.28278562229359294,0.002951099482867996,0.25,5000.0,-1.0,0.5814352550219016,4.607911881915172,75.93242435541205,1.9129621693514538,43.55917055382997,6.566095910788432,1.0,5e-05
856,100000.0,100000.0,3.454359739774066,3.907887619236861,15.46100269085491,0.5395576354485458,3.496769490652178,True,0.0,4.0333984810522345,1.4217986841494878,-inf,,0.22820664596613763,0.0018699204378906371,0.75,7500.0,-2.0,0.2100785875601918,0.0076377985553733995,0.0,7500.0,-1.0,0.1715418192309865,0.0019659028117273575,0.25,7500.0,-2.0,0.29238012014568393,0.010532369321378878,0.25,2500.0,-3.0,0.9237308165135841,5.471821176833926,73.71972793997004,3.9760415737242027,61.857515671617506,4.179138001784145,0.0,0.0
857,100000.0,100000.0,2.3721309989446984,2.9965500973193246,16.58548923731492,0.4732531029096146,3.2969480862466733,True,0.0,4.669817111151439,1.1086878778014573,-1.0925244165252517,1.210339102990856,0.192146172291279,0.0015613707472552027,0.75,5000.0,-3.0,0.180210131280502,0.011700268770338172,0.0,7500.0,-2.0,0.11623046880734271,0.00038590167699838527,0.25,7500.0,-3.0,0.24686234387822842,0.01008372370968621,0.75,7500.0,-4.0,0.5274186756718152,5.123997577627863,42.313475841806294,3.8536022036077333,49.06379256926144,10.95891093702438,3.0,0.00015
