,Cont,Pick,Type,Mass,Cont Type,HI
8,0.244149420799167,1.0,PH,1 Tomato,Uniform,139530.0
9,0.0,1.0,PH,1 Tomato,Uniform,139530.0
10,0.24814525575946897,1.0,PH,1 Tomato,Uniform,139530.0
11,0.0956136925680073,1.0,PH,1 Tomato,Uniform,139530.0
12,0.09567877131328908,1.0,PH,1 Tomato,Uniform,139530.0
13,0.0,1.0,PH,1 Tomato,Uniform,139530.0
14,0.45532994923857867,1.0,PH,1 Tomato,Uniform,139530.0
15,0.0,1.0,PH,1 Tomato,Uniform,139530.0
16,0.0,1.0,PH,1 Tomato,Uniform,139530.0
17,0.059768319666796826,1.0,PH,1 Tomato,Uniform,139530.0
18,0.0,1.0,PH,1 Tomato,Uniform,139530.0
19,0.12147598594299101,1.0,PH,1 Tomato,Uniform,139530.0
20,0.09746192893401015,1.0,PH,1 Tomato,Uniform,139530.0
21,0.0972276454509957,1.0,PH,1 Tomato,Uniform,139530.0
22,0.30252505531693347,1.0,PH,1 Tomato,Uniform,139530.0
23,0.0603670441233893,1.0,PH,1 Tomato,Uniform,139530.0
24,0.0,1.0,PH,1 Tomato,Uniform,139530.0
25,0.0,1.0,PH,1 Tomato,Uniform,139530.0
26,0.0,1.0,PH,1 Tomato,Uniform,139530.0
27,0.0,1.0,PH,1 Tomato,Uniform,139530.0
28,0.0,1.0,PH,1 Tomato,Uniform,139530.0
29,0.0,1.0,PH,1 Tomato,Uniform,139530.0
30,0.09678510998307953,1.0,PH,1 Tomato,Uniform,139530.0
31,0.09562670831706364,1.0,PH,1 Tomato,Uniform,139530.0
32,0.0,1.0,PH,1 Tomato,Uniform,139530.0
33,0.0,1.0,PH,1 Tomato,Uniform,139530.0
34,0.05819341403097748,1.0,PH,1 Tomato,Uniform,139530.0
35,0.3050110633866979,1.0,PH,1 Tomato,Uniform,139530.0
36,0.12147598594299101,1.0,PH,1 Tomato,Uniform,139530.0
37,0.0,1.0,PH,1 Tomato,Uniform,139530.0
38,0.0,1.0,PH,1 Tomato,Uniform,139530.0
39,0.3044513861772745,1.0,PH,1 Tomato,Uniform,139530.0
40,0.0,1.0,PH,1 Tomato,Uniform,139530.0
41,0.0,1.0,PH,1 Tomato,Uniform,139530.0
42,0.0,1.0,PH,1 Tomato,Uniform,139530.0
43,0.0,1.0,PH,1 Tomato,Uniform,139530.0
44,0.0,1.0,PH,1 Tomato,Uniform,139530.0
45,0.0,1.0,PH,1 Tomato,Uniform,139530.0
46,0.15564232721593127,1.0,PH,1 Tomato,Uniform,139530.0
47,0.04496941298971756,1.0,PH,1 Tomato,Uniform,139530.0
48,0.0,1.0,PH,1 Tomato,Uniform,139530.0
49,0.07627228947025902,1.0,PH,1 Tomato,Uniform,139530.0
0,0.0014447481452557595,2.0,PH,1 Tomato,Uniform,139530.0
1,0.0,2.0,PH,1 Tomato,Uniform,139530.0
2,0.021059481973187556,2.0,PH,1 Tomato,Uniform,139530.0
3,0.0,2.0,PH,1 Tomato,Uniform,139530.0
4,0.016868410777040217,2.0,PH,1 Tomato,Uniform,139530.0
5,0.021801379669399976,2.0,PH,1 Tomato,Uniform,139530.0
6,0.016647143043082128,2.0,PH,1 Tomato,Uniform,139530.0
7,0.0100872055186776,2.0,PH,1 Tomato,Uniform,139530.0
8,0.0,2.0,PH,1 Tomato,Uniform,139530.0
9,0.027411167512690356,2.0,PH,1 Tomato,Uniform,139530.0
10,0.007887543928153065,2.0,PH,1 Tomato,Uniform,139530.0
11,0.002889496290511519,2.0,PH,1 Tomato,Uniform,139530.0
12,0.002772354549004295,2.0,PH,1 Tomato,Uniform,139530.0
13,0.0,2.0,PH,1 Tomato,Uniform,139530.0
14,0.016686190290251205,2.0,PH,1 Tomato,Uniform,139530.0
15,0.0,2.0,PH,1 Tomato,Uniform,139530.0
16,0.5968632044774177,2.0,PH,1 Tomato,Uniform,139530.0
17,0.0017180788754392814,2.0,PH,1 Tomato,Uniform,139530.0
18,0.0,2.0,PH,1 Tomato,Uniform,139530.0
19,0.003774567226343876,2.0,PH,1 Tomato,Uniform,139530.0
20,0.0028374332942860863,2.0,PH,1 Tomato,Uniform,139530.0
