,variable,value,Type,Mass,Cont
7,Power_Pick_1,0.23,Packed Product,20 Tomatoes,Harvesting Bucket
8,Power_Pick_1,0.21,Packed Product,20 Tomatoes,Harvesting Bucket
9,Power_Pick_1,0.17,Packed Product,20 Tomatoes,Harvesting Bucket
10,Power_Pick_2,0.12,Packed Product,20 Tomatoes,Harvesting Bucket
11,Power_Pick_2,0.18,Packed Product,20 Tomatoes,Harvesting Bucket
12,Power_Pick_2,0.13,Packed Product,20 Tomatoes,Harvesting Bucket
13,Power_Pick_2,0.2,Packed Product,20 Tomatoes,Harvesting Bucket
14,Power_Pick_2,0.15,Packed Product,20 Tomatoes,Harvesting Bucket
15,Power_Pick_2,0.17,Packed Product,20 Tomatoes,Harvesting Bucket
16,Power_Pick_2,0.22,Packed Product,20 Tomatoes,Harvesting Bucket
17,Power_Pick_2,0.18,Packed Product,20 Tomatoes,Harvesting Bucket
18,Power_Pick_2,0.24,Packed Product,20 Tomatoes,Harvesting Bucket
19,Power_Pick_2,0.16,Packed Product,20 Tomatoes,Harvesting Bucket
20,Power_Pick_3,0.13,Packed Product,20 Tomatoes,Harvesting Bucket
21,Power_Pick_3,0.14,Packed Product,20 Tomatoes,Harvesting Bucket
