,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,OptimizeWashingYN,ChSpray_eff,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,Time_PostPStorage,Temperature_ColdStoragePostFP,Trasnportation_TimeFP_C,Transportation_TempFP_C,Time_Cust_Sto,Temp_Cust_Sto,PHS4d,PHS4h,PHSInt,HS,RS,FPS,CS,TotalCFUFP,PropCont
618,100000.0,1000.0,1.1976384286780457,-1.0405327425396032,3.282382808974531,16.62766189201673,0.5447407204866963,3.145009592926482,True,6.87775313910562,5.26339965483927,1.1648667878468775,True,False,False,1.1648667878468775,0.1895279032289767,0.0033368364682351574,0.0,0.0,0.0,0.16253633059222874,0.00937287498634725,0.0,0.0,0.0,0.2526072231815369,0.00028986144617418715,0.0,0.0,0.0,0.2662509856015754,0.010588829718412771,0.0,0.0,0.0,24.0,5.4653399164888645,63.57,5.16575547153559,24.0,4.0,False,False,False,True,False,False,False,932.0,0.01965
619,100000.0,10000.0,2.566619887684569,-2.02985396557859,2.44417572138351,15.508978007872898,0.5381306806172884,3.694821718360176,False,6.712232922065594,4.1388328091700455,1.32906587438287,True,True,True,1.32906587438287,0.2625073927064748,0.0030971410639666053,0.0,0.0,0.0,0.20461943401682717,0.007860830723871705,0.0,0.0,0.0,0.24996064020133826,0.0008178615334436556,0.0,0.0,0.0,0.2642829169749203,0.00918067030104052,0.0,0.0,0.0,24.0,5.535891720149197,63.57,2.4826506317216306,24.0,4.0,False,False,False,False,True,False,False,12.0,0.00035
620,100000.0,10000.0,5.511504404383972,-2.6834346170794543,2.5631801525904088,15.87790729562258,0.5531376838733237,3.7793552021284365,True,5.596736598695673,5.901772866854074,1.3984322338712987,True,False,False,1.3984322338712987,0.19976997100332516,0.001786319358454694,0.0,0.0,0.0,0.15455434903490192,0.010159238955077934,0.0,0.0,0.0,0.10745665007510558,0.001792358033346029,0.0,0.0,0.0,0.2911338344698428,0.011278552802813474,0.0,0.0,0.0,24.0,4.878265931871726,63.57,3.217329108104177,24.0,4.0,False,False,False,False,True,False,False,3.0,0.00015
621,100000.0,1000.0,3.0542178252398986,-2.499089502390096,2.9659980366563836,16.617769473772565,0.4763007112809218,3.0423062219751005,True,5.930814895520234,5.5111451570560614,1.2164093188027143,True,False,False,1.2164093188027143,0.24225913166610008,0.0022302025401101516,0.0,0.0,0.0,0.16180238868021632,0.007228812546077612,0.0,0.0,0.0,0.21302180980669855,0.0008227842927549596,0.0,0.0,0.0,0.2741257332944093,0.004012803953091729,0.0,0.0,0.0,24.0,4.458497990747482,63.57,5.46519451168876,24.0,4.0,False,True,False,False,False,False,False,24.0,0.0006
622,100000.0,10000.0,4.704702068192203,-4.856484447216923,2.394176442671572,15.561545418654939,0.5025010621777365,3.4940533810264345,True,5.45018792673679,4.287649824407221,1.4137182301128863,False,False,False,1.4137182301128863,0.21383691572665725,0.003327270602650821,0.0,0.0,0.0,0.17201796501103522,0.0029148683668974015,0.0,0.0,0.0,0.22959186045198116,0.0005028218892603949,0.0,0.0,0.0,0.29605499418713854,0.0027556688253208557,0.0,0.0,0.0,24.0,4.851348615628611,63.57,3.8593676675323367,24.0,4.0,False,False,False,False,False,True,False,0.0,0.0
623,100000.0,100000.0,4.920938881477921,-4.932611496549131,2.3631820989695704,16.987243608988432,0.5353944041308604,3.757621669560473,False,6.73089571367346,4.166503131887504,1.388327670370332,True,True,False,1.388327670370332,0.23802983532948363,0.002728561052008121,0.0,0.0,0.0,0.1838182512117812,0.007872311249915963,0.0,0.0,0.0,0.2332254486814216,0.00277998527885208,0.0,0.0,0.0,0.3003237509529862,0.01384347864165748,0.0,0.0,0.0,24.0,5.7094211801992865,63.57,2.618813083962905,24.0,4.0,False,False,False,True,False,False,False,0.0,0.0
624,100000.0,1000.0,1.835302430673336,-1.846979015192928,2.376044345875384,15.628418851669984,0.42122413241584966,3.451368475286993,True,5.04208553360729,4.930052140739142,1.4117325427375174,False,False,False,1.4117325427375174,0.2032654109116132,0.0013978989207239967,0.0,0.0,0.0,0.17592325446672658,0.005279434637897479,0.0,0.0,0.0,0.23555007527616362,0.0016981814136809111,0.0,0.0,0.0,0.2934511309199408,0.009772907499206519,0.0,0.0,0.0,24.0,5.729795776129147,63.57,1.858652418776199,24.0,4.0,False,False,False,False,False,False,True,494.0,0.01715
625,100000.0,10000.0,2.898400389008208,-2.7361702210908616,2.1051908174068363,15.653911268235,0.4660599626746766,3.0465311572559473,False,5.20459962557037,4.014286745724374,1.234236440232817,True,True,True,1.234236440232817,0.24292316546318451,0.0023704709790875167,0.0,0.0,0.0,0.1713944681806818,0.0022141821039086905,0.0,0.0,0.0,0.1281039492489487,0.000598890835954702,0.0,0.0,0.0,0.24505069869089205,0.0020472955352406693,0.0,0.0,0.0,24.0,5.672913184703715,63.57,4.907489270265209,24.0,4.0,False,False,False,False,False,False,True,0.0,0.0
626,100000.0,1000.0,0.6620544137976755,-0.5795354731440031,2.7080020503708746,16.634681663859055,0.5160573337135469,3.6328674974624553,True,5.945591386548034,5.014221926426527,1.3172393764438606,False,True,False,1.3172393764438606,0.2080247243159374,0.0023172085320138707,0.0,0.0,0.0,0.1879869879959385,0.003016793704278324,0.0,0.0,0.0,0.13931193437527317,0.0008508385656391913,0.0,0.0,0.0,0.28230112053557466,0.00453431089283505,0.0,0.0,0.0,24.0,4.346430861941031,63.57,3.2904356781604998,24.0,4.0,False,False,False,False,False,False,True,104.0,0.005
627,100000.0,1000.0,2.6087995093220977,-1.7925333587834427,3.2667073568952665,15.141614069968435,0.5375809368244311,3.2326218463046774,False,5.984730766767207,4.067360707963437,1.2421346999366067,False,False,False,1.2421346999366067,0.2319485720960783,0.0019175676407711907,0.0,0.0,0.0,0.19335880794665886,0.003831595582819198,0.0,0.0,0.0,0.262218232916269,0.0016144556735327572,0.0,0.0,0.0,0.2945946034509451,0.004043189017067187,0.0,0.0,0.0,24.0,4.348272282458844,63.57,4.04125689470974,24.0,4.0,False,False,False,False,False,False,True,394.0,0.0144
